=== DVD Bounce Heading Selection ===
DVD heading selections so far: 5
Successful interaction entries: 2
Completed 30 s interactions: 2
Abandoned before interaction: 0
Abandoned after interaction: 0
Cooldown ignored detections: 17
Current human phase: APPROACH
Reposition commits: 0
Settle successes: 2

Open beam rule: inf OR range >= 4.5000 m
Minimum accepted sector width: 18.0000 deg
Sector edge margin: 8.0000 deg
Preferred bounce band: +/-55.0000 to +/-150.0000 deg
Fallback bounce band: +/-35.0000 to +/-165.0000 deg

Accepted open sectors: 2
Widest open sector beams: 208
Preferred left candidates: 116
Preferred right candidates: 102
Fallback candidates: 288

=== Result ===
Selected behaviour: preferred random side-bounce
Selected side: right/negative
Selected index: 123
Selected angle: -118.4144 deg
Representative range: 4.7639 m

=== Laser Scan Values ===
  [ 195]  angle= -82.3643 deg  range=3.7466 m  open=no  preferred=yes
  [ 196]  angle= -81.8636 deg  range=3.7138 m  open=no  preferred=yes
  [ 197]  angle= -81.3629 deg  range=3.6819 m  open=no  preferred=yes
  [ 198]  angle= -80.8623 deg  range=3.6508 m  open=no  preferred=yes
  [ 199]  angle= -80.3616 deg  range=3.6205 m  open=no  preferred=yes
  [ 200]  angle= -79.8609 deg  range=3.5910 m  open=no  preferred=yes
  [ 201]  angle= -79.3602 deg  range=3.5622 m  open=no  preferred=yes
  [ 202]  angle= -78.8595 deg  range=3.5341 m  open=no  preferred=yes
  [ 203]  angle= -78.3588 deg  range=3.5068 m  open=no  preferred=yes
  [ 204]  angle= -77.8581 deg  range=3.4801 m  open=no  preferred=yes
  [ 205]  angle= -77.3574 deg  range=3.4541 m  open=no  preferred=yes
  [ 206]  angle= -76.8567 deg  range=3.4287 m  open=no  preferred=yes
  [ 207]  angle= -76.3560 deg  range=3.4040 m  open=no  preferred=yes
  [ 208]  angle= -75.8553 deg  range=3.3799 m  open=no  preferred=yes
  [ 209]  angle= -75.3546 deg  range=3.3563 m  open=no  preferred=yes
  [ 210]  angle= -74.8539 deg  range=3.3334 m  open=no  preferred=yes
  [ 211]  angle= -74.3532 deg  range=3.3110 m  open=no  preferred=yes
  [ 212]  angle= -73.8525 deg  range=3.2891 m  open=no  preferred=yes
  [ 213]  angle= -73.3518 deg  range=3.2678 m  open=no  preferred=yes
  [ 214]  angle= -72.8511 deg  range=3.2470 m  open=no  preferred=yes
  [ 215]  angle= -72.3504 deg  range=3.2268 m  open=no  preferred=yes
  [ 216]  angle= -71.8497 deg  range=3.2070 m  open=no  preferred=yes
  [ 217]  angle= -71.3490 deg  range=3.1877 m  open=no  preferred=yes
  [ 218]  angle= -70.8484 deg  range=3.1689 m  open=no  preferred=yes
  [ 219]  angle= -70.3477 deg  range=3.1505 m  open=no  preferred=yes
  [ 220]  angle= -69.8470 deg  range=3.1326 m  open=no  preferred=yes
  [ 221]  angle= -69.3463 deg  range=3.1151 m  open=no  preferred=yes
  [ 222]  angle= -68.8456 deg  range=3.0980 m  open=no  preferred=yes
  [ 223]  angle= -68.3449 deg  range=3.0814 m  open=no  preferred=yes
  [ 224]  angle= -67.8442 deg  range=3.0652 m  open=no  preferred=yes
