=== Laser Scan Values ===
  [ 374]  angle=   7.2601 deg  range=2.2629 m
  [ 375]  angle=   7.7608 deg  range=2.2877 m
  [ 376]  angle=   8.2615 deg  range=2.3132 m
  [ 377]  angle=   8.7621 deg  range=2.3395 m
  [ 378]  angle=   9.2628 deg  range=2.3665 m
  [ 379]  angle=   9.7635 deg  range=2.3944 m
  [ 380]  angle=  10.2642 deg  range=2.4109 m
  [ 381]  angle=  10.7649 deg  range=2.3958 m
  [ 382]  angle=  11.2656 deg  range=2.3811 m
  [ 383]  angle=  11.7663 deg  range=2.3667 m
  [ 384]  angle=  12.2670 deg  range=2.3526 m
  [ 385]  angle=  12.7677 deg  range=2.3389 m
  [ 386]  angle=  13.2684 deg  range=2.3256 m
  [ 387]  angle=  13.7691 deg  range=2.3126 m
  [ 388]  angle=  14.2698 deg  range=2.2998 m
  [ 389]  angle=  14.7705 deg  range=2.2874 m
  [ 390]  angle=  15.2712 deg  range=2.2754 m
  [ 391]  angle=  15.7719 deg  range=2.2636 m
  [ 392]  angle=  16.2726 deg  range=2.2521 m
  [ 393]  angle=  16.7733 deg  range=2.2409 m
  [ 394]  angle=  17.2740 deg  range=2.2299 m
  [ 395]  angle=  17.7747 deg  range=2.2193 m
  [ 396]  angle=  18.2754 deg  range=2.2089 m
  [ 397]  angle=  18.7760 deg  range=2.1987 m
  [ 398]  angle=  19.2767 deg  range=2.1889 m
  [ 399]  angle=  19.7774 deg  range=2.1793 m
  [ 400]  angle=  20.2781 deg  range=2.1699 m
  [ 401]  angle=  20.7788 deg  range=2.1608 m
  [ 402]  angle=  21.2795 deg  range=2.1519 m
  [ 403]  angle=  21.7802 deg  range=2.1433 m
  [ 404]  angle=  22.2809 deg  range=2.1349 m
  [ 405]  angle=  22.7816 deg  range=2.1267 m
  [ 406]  angle=  23.2823 deg  range=2.1187 m
  [ 407]  angle=  23.7830 deg  range=2.1110 m
  [ 408]  angle=  24.2837 deg  range=2.1034 m
  [ 409]  angle=  24.7844 deg  range=2.0961 m
  [ 410]  angle=  25.2851 deg  range=2.0890 m
  [ 411]  angle=  25.7858 deg  range=2.0821 m
  [ 412]  angle=  26.2865 deg  range=2.0755 m
  [ 413]  angle=  26.7872 deg  range=2.0690 m
  [ 414]  angle=  27.2879 deg  range=2.0627 m
  [ 415]  angle=  27.7886 deg  range=2.0566 m
  [ 416]  angle=  28.2893 deg  range=2.0507 m
  [ 417]  angle=  28.7899 deg  range=2.0449 m
  [ 418]  angle=  29.2906 deg  range=2.0394 m
  [ 419]  angle=  29.7913 deg  range=2.0341 m
  [ 420]  angle=  30.2920 deg  range=2.0289 m
  [ 421]  angle=  30.7927 deg  range=2.0239 m
  [ 422]  angle=  31.2934 deg  range=2.0191 m
  [ 423]  angle=  31.7941 deg  range=2.0145 m
  [ 424]  angle=  32.2948 deg  range=2.0100 m
  [ 425]  angle=  32.7955 deg  range=2.0058 m
  [ 426]  angle=  33.2962 deg  range=2.0016 m
  [ 427]  angle=  33.7969 deg  range=1.9977 m
  [ 428]  angle=  34.2976 deg  range=1.9939 m
  [ 429]  angle=  34.7983 deg  range=1.9903 m
  [ 430]  angle=  35.2990 deg  range=1.9869 m
  [ 431]  angle=  35.7997 deg  range=1.9836 m
  [ 432]  angle=  36.3004 deg  range=1.9805 m
  [ 433]  angle=  36.8011 deg  range=1.9775 m
  [ 434]  angle=  37.3018 deg  range=inf m
  [ 435]  angle=  37.8025 deg  range=inf m
  [ 436]  angle=  38.3032 deg  range=inf m
  [ 437]  angle=  38.8038 deg  range=inf m
  [ 438]  angle=  39.3045 deg  range=inf m
  [ 439]  angle=  39.8052 deg  range=inf m
  [ 440]  angle=  40.3059 deg  range=inf m
  [ 441]  angle=  40.8066 deg  range=inf m
